Old URL,Actual New URL
https://aws.github.io/aws-eks-best-practices/networking/vpc-cni/index.ko/,
https://aws.github.io/aws-eks-best-practices/networking/vpc-cni/,https://docs.aws.amazon.com/eks/latest/best-practices/vpc-cni.html
https://aws.github.io/aws-eks-best-practices/networking/subnets/index.ko/,
https://aws.github.io/aws-eks-best-practices/networking/subnets/,https://docs.aws.amazon.com/eks/latest/best-practices/subnets.html
https://aws.github.io/aws-eks-best-practices/cluster-autoscaling/index.ko/,
https://aws.github.io/aws-eks-best-practices/cluster-autoscaling/,https://docs.aws.amazon.com/eks/latest/best-practices/cas.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/kcp_monitoring/,https://docs.aws.amazon.com/eks/latest/best-practices/control_plane_monitoring.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/scaling_theory/,https://docs.aws.amazon.com/eks/latest/best-practices/kubernetes_scaling_theory.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/workloads.ko/,
https://aws.github.io/aws-eks-best-practices/scalability/docs/node_efficiency.ko/,
https://aws.github.io/aws-eks-best-practices/scalability/docs/cluster-services/,https://docs.aws.amazon.com/eks/latest/best-practices/scale-cluster-services.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/kubernetes_slos.ko/,
https://aws.github.io/aws-eks-best-practices/scalability/docs/quotas.ko/,
https://aws.github.io/aws-eks-best-practices/scalability/docs/quotas/,https://docs.aws.amazon.com/eks/latest/best-practices/known_limits_and_service_quotas.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/control-plane/,https://docs.aws.amazon.com/eks/latest/best-practices/scale-control-plane.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/node_efficiency/,https://docs.aws.amazon.com/eks/latest/best-practices/node_and_workload_efficiency.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/cluster-services.ko/,
https://aws.github.io/aws-eks-best-practices/scalability/docs/index.ko/,
https://aws.github.io/aws-eks-best-practices/scalability/docs/kubernetes_slos/,https://docs.aws.amazon.com/eks/latest/best-practices/kubernetes_upstream_slos.html
https://aws.github.io/aws-eks-best-practices/scalability/docs/,https://docs.aws.amazon.com/eks/latest/best-practices/scalability.html
